Parameter_Name,Importance
OverTime_No,0.3898432633578165
StockOptionLevel,0.12989262516130465
JobLevel,0.09413274426719229
WorkLifeBalance,0.06472225844846353
MaritalStatus_Single,0.04501352076260934
TotalWorkingYears,0.04195915291907918
EnvironmentSatisfaction,0.03997855872128081
DailyRate,0.031239572049491106
JobSatisfaction,0.03020504246744347
JobRole_Research Scientist,0.02700546799186038
JobRole_Sales Executive,0.0244281487313984
YearsWithCurrManager,0.01721694675989552
YearsSinceLastPromotion,0.014157653808332806
NumCompaniesWorked,0.010952342254112417
HourlyRate,0.010670361744783937
Education,0.008386318690531833
EducationField_Medical,0.006647387743105221
Age,0.005820386790005429
JobRole_Manufacturing Director,0.00439291238529414
Gender_Female,0.0033353349459989343
